,host_is_superhost,host_listings_count,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,antiguedad_host,price_clean,postal_code,Bedroom comforts,Hot water,Kitchen,TV,Cable TV,Pocket wifi,Changing table,Patio or balcony,Waterfront,Bread maker,Full kitchen,Heating,Single level home,Bathroom essentials,Pets allowed,Game console,Cooking basics,Shampoo,Bed linens,First aid kit,Piano,Dishwasher,Extra pillows and blankets,Iron,Self check-in,Garden or backyard,Baby monitor,Beachfront,Fire extinguisher,Window guards,Barbecue utensils,Dishes and silverware,Ethernet connection,Coffee maker,BBQ grill,Lake access,Hot tub,Long term stays allowed,Laptop-friendly workspace,Paid parking on premises,Stove,Smoke alarm,Carbon monoxide alarm,Microwave,Refrigerator,Free parking on premises,Lockbox,Paid parking off premises,Ski-in/Ski-out,Shower gel,Breakfast,Dryer,Free street parking,Air conditioning,Stair gates,Wifi,Baking sheet,Lock on bedroom door,Host greets you,Suitable for events,Cleaning before checkout,Hair dryer,Children’s books and toys,Room-darkening shades,Outlet covers,Keypad,Gym,Fireplace guards,Indoor fireplace,Table corner guards,Smoking allowed,Children’s dinnerware,Essentials,Washer,Baby bath,Luggage dropoff allowed,Elevator,Smart lock,Babysitter recommendations,EV charger,Building staff,Private living room,Oven,Beach essentials,Crib,Private entrance,Pack ’n Play/travel crib,Pool,Bathtub,High chair,Hangers
10,0,1.0,0,Private room in apartment,Private room,1.0,1 shared bath,1.0,1.0,26.0,89.0,3.0,20.0,28005,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,0,3.0,1,Entire condominium,Entire home/apt,4.0,1 bath,1.0,1.0,5.0,72.0,2.0,60.0,28022,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
12,0,11.0,1,Private room in apartment,Private room,1.0,3 shared baths,1.0,0.0,0.0,0.0,1.0,32.0,28010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,1.0,1,Entire apartment,Entire home/apt,4.0,1 bath,1.0,2.0,55.0,96.0,8.0,89.0,28005,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,0,6.0,1,Entire apartment,Entire home/apt,11.0,1 bath,2.0,6.0,416.0,89.0,5.0,42.0,28011,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
15,1,1.0,0,Entire apartment,Entire home/apt,2.0,1 bath,1.0,1.0,19.0,96.0,3.0,57.0,28002,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,33.0,1,Entire apartment,Entire home/apt,2.0,1 bath,1.0,0.0,1.0,80.0,3.0,32.0,28014,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,0,1.0,0,Private room in apartment,Private room,3.0,2 shared baths,1.0,1.0,3.0,90.0,4.0,21.0,28005,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
18,0,1.0,1,Entire loft,Entire home/apt,3.0,1 bath,1.0,1.0,47.0,89.0,5.0,57.0,28012,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,2.0,0,Private room in apartment,Private room,2.0,1 shared bath,1.0,2.0,2.0,20.0,3.0,25.0,28033,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,9.0,1,Entire apartment,Entire home/apt,4.0,1 bath,2.0,3.0,0.0,0.0,3.0,83.86,28012,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,1,1.0,1,Entire loft,Entire home/apt,2.0,1 bath,1.0,2.0,78.0,97.0,2.0,52.0,28003,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,1,1.0,1,Private room in apartment,Private room,1.0,1 shared bath,1.0,1.0,39.0,92.0,8.0,29.0,28012,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,3.0,0,Entire condominium,Entire home/apt,4.0,1 bath,1.0,2.0,96.0,94.0,3.0,52.0,28028,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
24,1,2.0,0,Private room in apartment,Private room,1.0,1 shared bath,0.0,0.0,2.0,100.0,2.0,19.0,28027,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,1.0,1,Entire loft,Entire home/apt,4.0,1 bath,0.0,2.0,0.0,0.0,4.0,49.0,28004,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0.0,0,Entire apartment,Entire home/apt,4.0,1 bath,1.0,1.0,11.0,100.0,1.0,48.0,28037,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
27,0,6.0,1,Private room in apartment,Private room,2.0,1 shared bath,1.0,1.0,26.0,91.0,9.0,50.0,28004,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,24.0,1,Entire apartment,Entire home/apt,4.0,1 bath,1.0,2.0,0.0,0.0,8.0,48.0,28012,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
29,1,3.0,1,Entire loft,Entire home/apt,2.0,1 bath,1.0,1.0,267.0,98.0,6.0,30.0,28012,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
30,0,3.0,1,Private room in apartment,Private room,1.0,1 shared bath,1.0,1.0,227.0,93.0,4.0,35.0,28046,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,1,3.0,0,Entire apartment,Entire home/apt,6.0,1 bath,3.0,6.0,0.0,0.0,4.0,79.0,28025,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
